map_height,map_total_halite,map_width,p0,score0,p1,score1,scoreDiff,avgHalite
56,453118,56,"1.00",89200,"2.00",82707,6493,144.4891581632653
64,722742,64,"1.00",101391,"2.00",97310,4081,176.45068359375
32,208826,32,"1.00",62050,"2.00",54003,8047,203.931640625
40,197936,40,"1.00",48298,"2.00",44989,3309,123.71
48,293858,48,"2.00",55787,"1.00",58128,-2341,127.54253472222223
56,344124,56,"2.00",61379,"1.00",63325,-1946,109.73341836734694
64,797684,64,"2.00",135859,"1.00",143292,-7433,194.7470703125
32,169686,32,"2.00",36383,"1.00",40249,-3866,165.708984375
40,331944,40,"2.00",77471,"1.00",87758,-10287,207.465
48,415958,48,"1.00",94693,"2.00",86005,8688,180.53732638888889
56,376262,56,"2.00",64166,"1.00",69530,-5364,119.98150510204081
64,777838,64,"1.00",171930,"2.00",144372,27558,189.90185546875
32,209036,32,"1.00",64573,"2.00",52316,12257,204.13671875
40,233130,40,"2.00",42507,"1.00",43674,-1167,145.70625
48,420088,48,"2.00",73801,"1.00",87176,-13375,182.32986111111111
56,356418,56,"2.00",48996,"1.00",49131,-135,113.65369897959184
64,773726,64,"1.00",107744,"2.00",94414,13330,188.89794921875
32,178308,32,"2.00",40910,"1.00",43715,-2805,174.12890625
40,252836,40,"1.00",65488,"2.00",65247,241,158.0225
48,307898,48,"1.00",73895,"2.00",57934,15961,133.63628472222223
56,406912,56,"2.00",52707,"1.00",55591,-2884,129.75510204081633
64,590224,64,"2.00",71564,"1.00",76194,-4630,144.09765625
32,146396,32,"1.00",27288,"2.00",26521,767,142.96484375
40,302952,40,"1.00",82909,"2.00",46919,35990,189.345
48,401098,48,"2.00",70149,"1.00",92965,-22816,174.08767361111111
56,442244,56,"2.00",57623,"1.00",62378,-4755,141.0216836734694
64,754786,64,"1.00",116183,"2.00",100458,15725,184.27392578125
32,153434,32,"2.00",37156,"1.00",42069,-4913,149.837890625
40,216398,40,"2.00",48805,"1.00",50373,-1568,135.24875
48,352838,48,"1.00",81232,"2.00",61789,19443,153.14149305555554
56,422830,56,"1.00",58230,"2.00",48882,9348,134.8309948979592
64,508938,64,"2.00",58674,"1.00",64255,-5581,124.25244140625
32,157024,32,"1.00",38416,"2.00",30187,8229,153.34375
40,230338,40,"2.00",48866,"1.00",53391,-4525,143.96125
48,323914,48,"2.00",55223,"1.00",61727,-6504,140.58767361111111
56,462840,56,"2.00",82466,"1.00",88140,-5674,147.58928571428572
64,638962,64,"1.00",86564,"2.00",81865,4699,155.99658203125
32,145534,32,"1.00",44196,"2.00",8380,35816,142.123046875
40,307478,40,"2.00",63902,"1.00",66716,-2814,192.17375
48,504562,48,"1.00",127312,"2.00",115421,11891,218.99392361111111
56,402648,56,"2.00",58069,"1.00",70495,-12426,128.3954081632653
64,685752,64,"2.00",109544,"1.00",114063,-4519,167.419921875
32,160968,32,"1.00",48408,"2.00",37480,10928,157.1953125
40,233078,40,"1.00",59555,"2.00",44568,14987,145.67375
48,266074,48,"2.00",42066,"1.00",47975,-5909,115.48350694444444
56,529492,56,"2.00",97642,"1.00",130605,-32963,168.84311224489795
64,795866,64,"2.00",127576,"1.00",143084,-15508,194.30322265625
32,221524,32,"2.00",52464,"1.00",63378,-10914,216.33203125
40,265456,40,"2.00",56319,"1.00",63628,-7309,165.91
48,294646,48,"1.00",69622,"2.00",66998,2624,127.88454861111111
56,445436,56,"1.00",92640,"2.00",84193,8447,142.03954081632654
64,738374,64,"1.00",143003,"2.00",92697,50306,180.26708984375
32,218384,32,"2.00",48923,"1.00",75462,-26539,213.265625
40,272056,40,"2.00",57377,"1.00",62833,-5456,170.035
48,378894,48,"1.00",84285,"2.00",83324,961,164.45052083333334
56,396294,56,"1.00",55877,"2.00",46170,9707,126.36926020408163
64,581800,64,"1.00",134825,"2.00",95307,39518,142.041015625
32,228754,32,"1.00",79338,"2.00",63445,15893,223.392578125
40,313792,40,"2.00",62934,"1.00",74415,-11481,196.12
48,382790,48,"2.00",67485,"1.00",70470,-2985,166.14149305555554
56,478996,56,"1.00",74201,"2.00",67216,6985,152.74107142857142
64,731384,64,"2.00",137512,"1.00",138009,-497,178.560546875
32,243012,32,"1.00",91106,"2.00",52916,38190,237.31640625
40,282052,40,"2.00",69229,"1.00",75195,-5966,176.2825
48,308410,48,"1.00",57852,"2.00",37768,20084,133.85850694444446
56,569038,56,"1.00",108527,"2.00",77242,31285,181.45344387755102
64,609820,64,"1.00",108430,"2.00",108072,358,148.8818359375
32,213860,32,"2.00",53012,"1.00",54663,-1651,208.84765625
40,214588,40,"1.00",44261,"2.00",42570,1691,134.1175
48,463104,48,"1.00",121636,"2.00",99413,22223,201
